radio_m,ventana_min,min_dias,observados,azar,azar_std,exceso,n_repeticiones,precision,recall,f1,aciertos,predichos,verdaderos
500,5,3,434,300.7,20.86648029735729,133.3,10,0.543778801843318,0.03933333333333333,0.0733602735467827,236,434,6000
500,5,4,70,13.4,3.2619012860600183,56.6,10,0.8142857142857143,0.0095,0.018780889621087316,57,70,6000
500,5,5,5,0.4,0.66332495807108,4.6,10,0.8,0.0006666666666666666,0.0013322231473771855,4,5,6000
500,10,2,727,548.4,24.589428622885894,178.60000000000002,10,0.5116918844566712,0.062,0.11059907834101385,372,727,6000
500,10,3,627,457.6,24.19586741573858,169.39999999999998,10,0.543859649122807,0.05683333333333333,0.10291232835370455,341,627,6000
500,10,4,160,65.8,5.491812087098393,94.2,10,0.8125,0.021666666666666667,0.04220779220779221,130,160,6000
500,10,5,24,3.3,1.1,20.7,10,0.7916666666666666,0.0031666666666666666,0.006308100929614874,19,24,6000
600,1,2,883,862.8,23.773094035064094,20.200000000000045,10,0.11325028312570781,0.016666666666666666,0.02905709719599012,100,883,6000
600,1,3,49,20.8,3.9949968710876362,28.2,10,0.3469387755102041,0.0028333333333333335,0.005620763762605389,17,49,6000
600,1,4,2,0.3,0.45825756949558394,1.7,10,0.5,0.00016666666666666666,0.0003332222592469177,1,2,6000
600,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
600,2,2,824,738.4,22.195495038408133,85.60000000000002,10,0.19902912621359223,0.027333333333333334,0.04806565064478312,164,824,6000
600,2,3,184,127.1,7.313685801290619,56.900000000000006,10,0.375,0.0115,0.022315653298835707,69,184,6000
600,2,4,11,2.4,1.2,8.6,10,0.7272727272727273,0.0013333333333333333,0.0026617867243387125,8,11,6000
600,2,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
600,3,2,790,647.8,21.25464655081331,142.20000000000005,10,0.27341772151898736,0.036,0.06362297496318116,216,790,6000
600,3,3,348,258.6,10.32666451474047,89.39999999999998,10,0.4051724137931034,0.0235,0.044423440453686194,141,348,6000
